time	V(v+)	I(I1)
0.000000000000000e+000	3.957667e+001	0.000000e+000
3.096423259703443e-001	3.806499e+001	3.096423e+000
4.815173259703443e-001	3.664986e+001	4.815173e+000
5.781970134703443e-001	3.529687e+001	5.781970e+000
6.328845134703443e-001	3.399956e+001	6.328845e+000
6.641345134703443e-001	3.275990e+001	6.641345e+000
6.826892009703443e-001	3.154932e+001	6.826892e+000
6.944079509703443e-001	3.029612e+001	6.944079e+000
7.002673259703443e-001	2.932190e+001	7.002673e+000
7.041735759703443e-001	2.838946e+001	7.041736e+000
7.061267009703443e-001	2.776999e+001	7.061267e+000
7.071032634703443e-001	2.740187e+001	7.071033e+000
7.080798259703443e-001	2.698211e+001	7.080798e+000
7.090563884703443e-001	2.649712e+001	7.090564e+000
7.100329509703443e-001	2.592868e+001	7.100329e+000
7.110095134703443e-001	2.525286e+001	7.110095e+000
7.119860759703443e-001	2.444003e+001	7.119861e+000
7.129626384703443e-001	2.345846e+001	7.129626e+000
7.139392009703443e-001	2.228433e+001	7.139392e+000
7.149157634703443e-001	2.091582e+001	7.149158e+000
7.158923259703443e-001	1.938003e+001	7.158923e+000
7.168688884703443e-001	1.772303e+001	7.168689e+000
7.178454509703443e-001	1.599085e+001	7.178454e+000
7.188220134703443e-001	1.421732e+001	7.188220e+000
7.197985759703443e-001	1.242278e+001	7.197986e+000
7.207751384703443e-001	1.061806e+001	7.207751e+000
7.217517009703443e-001	8.808531e+000	7.217517e+000
7.227282634703443e-001	6.996754e+000	7.227283e+000
7.237048259703443e-001	5.183934e+000	7.237048e+000
7.246813884703443e-001	3.370631e+000	7.246814e+000
7.256579509703443e-001	1.743283e+000	7.256579e+000
7.266345134703443e-001	7.528705e-001	7.262297e+000
7.276110759703443e-001	4.789331e-001	7.261970e+000
7.295642009703443e-001	4.663806e-001	7.262446e+000
7.334704509703443e-001	4.503430e-001	7.262198e+000
7.412829509703443e-001	4.288156e-001	7.262498e+000
7.539782634703443e-001	4.041584e-001	7.262707e+000
7.725329509703443e-001	3.776713e-001	7.262884e+000
7.979235759703443e-001	3.502054e-001	7.263051e+000
8.301501384703443e-001	3.231727e-001	7.263206e+000
8.701892009703443e-001	2.967071e-001	7.263355e+000
9.180407634703443e-001	2.715246e-001	7.263494e+000
9.746813884703443e-001	2.476270e-001	7.263625e+000
9.785876384703443e-001	2.461582e-001	7.263633e+000
9.990954509703443e-001	2.387652e-001	7.263674e+000
1.000000000000000e+000	2.384506e-001	7.263676e+000

